id,x,y,time_s
8,482167.679608173,3006190.37347163,1492732800
8,482167.431041982,3006189.6126455,1492733100
8,482168.061612209,3006189.51409778,1492733400
8,482168.986747934,3006189.61582498,1492733700
8,482169.927941047,3006189.66754195,1492734000
8,482170.636690397,3006189.38261372,1492734300
8,482170.6481866,3006188.15396062,1492734600
8,482169.396579334,3006185.23929257,1492734900
8,482167.487631755,3006181.53045532,1492735200
8,482165.465647556,3006177.93238911,1492735500
8,482163.777015004,3006175.47318683,1492735800
8,482163.212674528,3006176.32313783,1492736100
8,482165.692077906,3006185.94582181,1492736400
8,482173.66713918,3006211.38815751,1492736700
8,482184.598879275,3006245.58332421,1492737000
8,482196.394298698,3006283.02747913,1492737300
8,482207.83022953,3006321.44916734,1492737600
8,482217.340797342,3006359.55732504,1492737900
8,482221.465221285,3006395.76096487,1492738200
8,482215.823875844,3006428.26995571,1492738500
8,482204.80415315,3006458.66282728,1492738800
8,482191.882325928,3006488.10799457,1492739100
8,482178.662867632,3006516.84291017,1492739400
8,482166.468936126,3006544.4088782,1492739700
8,482157.654041097,3006569.19590392,1492740000
8,482155.081220234,3006589.05467412,1492740300
8,482155.876669793,3006606.19524357,1492740600
8,482157.665649829,3006622.3477424,1492740900
8,482159.072472581,3006638.26865578,1492741200
8,482158.356978037,3006654.4903099,1492741500
8,482151.689775298,3006671.84819042,1492741800
8,482134.226236752,3006691.34293524,1492742100
8,482110.805833829,3006712.05736974,1492742400
8,482085.248128161,3006733.32152697,1492742700
8,482059.269472772,3006755.01403662,1492743000
8,482034.184612523,3006777.44144534,1492743300
8,482012.21024438,3006801.64165252,1492743600
8,481996.048793658,3006828.98011455,1492743900
8,481983.246981996,3006857.94397648,1492744200
8,481972.084888844,3006887.20091437,1492744500
8,481962.485234327,3006915.71018503,1492744800
8,481955.936986795,3006941.69057909,1492745100
8,481956.971305167,3006960.85448552,1492745400
8,481971.550213685,3006967.70297141,1492745700
8,481993.549805513,3006967.72719559,1492746000
8,482018.116308667,3006965.1988183,1492746300
8,482042.957378149,3006961.85864081,1492746600
8,482066.069627781,3006958.64201993,1492746900
8,482083.752554191,3006956.60599321,1492747200
8,482091.446204707,3006956.90019147,1492747500
8,482093.554645767,3006958.47848478,1492747800
8,482093.467530271,3006960.4899514,1492748100
8,482092.413877821,3006962.51228345,1492748400
8,482090.680200383,3006964.13318653,1492748700
8,482087.894493372,3006964.54170362,1492749000
8,482083.432038895,3006962.66000455,1492749300
8,482078.261683159,3006959.0533668,1492749600
8,482073.440767992,3006953.51221255,1492749900
8,482070.388714318,3006943.90886773,1492750200
8,482072.293947004,3006924.08885068,1492750500
8,482087.274109007,3006877.77112524,1492750800
8,482125.783760861,3006783.88974143,1492751100
8,482177.112094535,3006664.08659407,1492751400
8,482232.630274221,3006535.79204434,1492751700
8,482287.876110918,3006408.02494595,1492752000
8,482338.130425347,3006290.33387032,1492752300
8,482373.738703796,3006202.26334376,1492752600
8,482382.610224711,3006168.28077584,1492752900
8,482376.653146912,3006164.20783719,1492753200
8,482365.157670862,3006171.07781142,1492753500
8,482351.935025625,3006180.78356142,1492753800
8,482339.095118954,3006188.04213919,1492754100
8,482329.137979949,3006185.15849627,1492754400
8,482324.836461593,3006163.14099878,1492754700
8,482323.722737618,3006130.61958751,1492755000
8,482323.904386674,3006094.56958253,1492755300
8,482324.784163905,3006058.48327832,1492755600
8,482326.468047494,3006025.83193175,1492755900
8,482329.870261383,3006003.50689967,1492756200
8,482336.266734599,3006000.0925026,1492756500
8,482344.253816438,3006007.13189275,1492756800
8,482352.662794276,3006017.98799526,1492757100
8,482360.754026357,3006029.82313639,1492757400
8,482367.483704696,3006040.78632957,1492757700
8,482370.488433806,3006048.19784273,1492758000
8,482368.067704275,3006050.23584005,1492758300
8,482363.094729232,3006049.74989011,1492758600
8,482357.191944355,3006048.37730473,1492758900
8,482351.070792007,3006046.8923727,1492759200
8,482345.236963502,3006045.97380928,1492759500
8,482340.491718318,3006046.87748136,1492759800
8,482337.792065072,3006051.14871186,1492760100
8,482336.22590132,3006057.27563439,1492760400
8,482335.081516776,3006064.06890473,1492760700
8,482334.076301782,3006071.01523497,1492761000
8,482333.076663781,3006077.76853287,1492761300
8,482331.965637314,3006083.80675191,1492761600
8,482330.631701498,3006088.51065599,1492761900
8,482329.191649498,3006092.44819015,1492762200
8,482327.772988919,3006096.03907876,1492762500
8,482326.535617227,3006099.37445207,1492762800
8,482325.830327407,3006102.30710336,1492763100
8,482326.546513523,3006104.3055269,1492763400
8,482329.830655133,3006104.65638572,1492763700
8,482334.520308288,3006104.07909882,1492764000
8,482339.694219164,3006103.11723953,1492764300
8,482344.922190103,3006101.94798555,1492764600
8,482349.838601972,3006100.55774343,1492764900
8,482353.779941558,3006098.72869673,1492765200
8,482355.930008896,3006096.14877304,1492765500
8,482357.066850156,3006093.13958085,1492765800
8,482357.777898795,3006089.93800414,1492766100
8,482358.239253207,3006086.60521362,1492766400
8,482358.390201082,3006083.08735322,1492766700
8,482357.873036962,3006079.16222188,1492767000
8,482356.197219187,3006074.53107781,1492767300
8,482353.904351111,3006069.51571965,1492767600
8,482351.453848659,3006064.38441283,1492767900
8,482349.159630984,3006059.30589601,1492768200
8,482347.501301078,3006054.51671681,1492768500
8,482347.599538572,3006050.55577446,1492768800
8,482350.883391051,3006048.1152173,1492769100
8,482355.911593648,3006046.55133477,1492769400
8,482361.539079176,3006045.42178984,1492769700
8,482367.225454371,3006044.73054277,1492770000
8,482372.499295322,3006044.93179678,1492770300
8,482376.490799765,3006047.38018716,1492770600
8,482378.127414716,3006053.85253159,1492770900
8,482378.438072944,3006062.51244763,1492771200
8,482378.205620973,3006071.88653685,1492771500
8,482377.684905358,3006081.22476362,1492771800
8,482376.855364194,3006089.75689871,1492772100
8,482375.400656928,3006095.92894916,1492772400
8,482372.870549419,3006097.79848588,1492772700
8,482369.748063591,3006097.2712557,1492773000
8,482366.41489712,3006095.82806652,1492773300
8,482363.054387732,3006094.0567783,1492773600
8,482359.833286012,3006092.23497763,1492773900
8,482357.067088629,3006090.60513556,1492774200
8,482355.147580414,3006089.40612779,1492774500
8,482353.704933361,3006088.44523733,1492774800
8,482352.467454738,3006087.57195254,1492775100
8,482351.377545133,3006086.73764169,1492775400
8,482350.534632116,3006085.94736816,1492775700
8,482350.293736108,3006085.264924,1492776000
8,482351.126926207,3006084.77991835,1492776300
8,482352.53000897,3006084.39052116,1492776600
8,482354.083989336,3006084.00862804,1492776900
8,482355.530197164,3006083.56869647,1492777200
8,482356.513882089,3006082.96279128,1492777500
8,482356.232581872,3006081.93361425,1492777800
8,482353.672579057,3006080.151422,1492778100
8,482349.888788834,3006077.94384193,1492778400
8,482345.76575518,3006075.56400995,1492778700
8,482341.862599036,3006073.10957831,1492779000
8,482338.967257247,3006070.61954525,1492779300
8,482338.877504948,3006068.11295205,1492779600
8,482343.877495191,3006065.60714821,1492779900
8,482351.663015337,3006063.132956,1492780200
8,482360.396259915,3006060.76734154,1492780500
8,482369.189526882,3006058.71039577,1492780800
8,482377.22522694,3006057.48369444,1492781100
8,482382.94538296,3006058.44728726,1492781400
8,482384.420577465,3006063.35885293,1492781700
8,482383.528034373,3006070.42127968,1492782000
8,482381.721675986,3006078.19589476,1492782300
8,482379.559913657,3006085.96527759,1492782600
8,482377.259141459,3006093.02205831,1492782900
8,482374.908251062,3006097.96767814,1492783200
8,482372.549081363,3006099.05998483,1492783500
8,482370.19343128,3006098.00592753,1492783800
8,482367.859294638,3006096.1338614,1492784100
8,482365.596432868,3006093.9762622,1492784400
8,482363.53573761,3006091.79751538,1492784700
8,482362.019002977,3006089.85599681,1492785000
